
해당연도,업소명,소재지,메뉴,데이터기준일자
2021,제주여행가야밀면,제주특별자치도 제주시 원노형9길 14,한식,2021-03-01
2021,제주영재숯불,제주특별자치도 제주시 신광로10길 23 ,식육(숯불구이),2021-03-01
2021,돈향기,제주특별자치도 제주시 관덕로15길 30 ,식육(숯불구이),2021-03-01
2021,돈풍년,제주특별자치도 제주시 승천로 52,한식,2021-03-01
2021,돈사돈월정점,제주특별자치도 제주시 구좌읍 한동북1길 29-3,한식,2021-03-01
2021,제주정,제주특별자치도 제주시 일주동로 320,한식,2021-03-01
2021,제주정지,제주특별자치도 제주시 서해안로 480,한식,2021-03-01
2021,제주축산농협한우프라자삼화점,제주특별자치도 제주시 건주로 45,식육(숯불구이),2021-03-01
2021,제주축산농협한우프라자아라점,제주특별자치도 제주시 중앙로 415 ,식육(숯불구이),2021-03-01
2021,돈사돈2호점,제주특별자치도 제주시 광평동로 15,식육(숯불구이),2021-03-01
2021,해연,제주특별자치도 제주시 흥운길 83 ,횟집,2021-03-01
2021,제주통큰장어,제주특별자치도 제주시 청귤로3길 50 ,한식,2021-03-01
2021,대성아귀찜,제주특별자치도 제주시 조천읍 함덕3길 4,한식,2021-03-01
2021,제주한우리,제주특별자치도 제주시 고사마루길 10 ,식육(숯불구이),2021-03-01
2021,대연정,제주특별자치도 제주시 우정로8길 8 ,한식,2021-03-01
2021,제주향토골,제주특별자치도 제주시 공항로 2 ,한식,2021-03-01
2021,제주흑돼지마씸,제주특별자치도 제주시 탑동로 18,식육(숯불구이),2021-03-01
2021,제철별미,제주특별자치도 제주시 원노형3길 28,기타,2021-03-01
2021,조마루뼈다귀노형점,제주특별자치도 제주시 수덕로 83 ,탕류(보신용),2021-03-01
2021,도치돌가든,제주특별자치도 제주시 애월읍 천덕로 440-1,한식,2021-03-01
2021,대원가,제주특별자치도 제주시 도남로16길 15,한식,2021-03-01
2021,도라지,제주특별자치도 제주시 연삼로 128,한식,2021-03-01
2021,대자연가든,제주특별자치도 제주시 조천읍 신북로 618,식육(숯불구이),2021-03-01
2021,조마루뼈다귀일도지구점,제주특별자치도 제주시 연수로3길 5 ,한식,2021-03-01
2021,황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36,식육(숯불구이),2021-03-01
2021,도두,제주특별자치도 제주시 도두3길 48 ,횟집,2021-03-01
2021,도남오거리외도점,제주특별자치도 제주시 우정로7길 26-3 ,식육(숯불구이),2021-03-01
2021,황금어장,제주특별자치도 제주시 사장길 14 ,한식,2021-03-01
2021,주식회사도다모,제주특별자치도 제주시 신설로11길 5,경양식,2021-03-01
2021,대진,제주특별자치도 제주시 서부두길 16 ,횟집,2021-03-01
2021,주식회사장독대흑돼지,제주특별자치도 제주시 삼동길 60,한식,2021-03-01
2021,주식회사해녀촌,제주특별자치도 제주시 구좌읍 동복로 35,한식,2021-03-01
2021,주왕산삼계탕제주본점,제주특별자치도 제주시 애월읍 신엄로 28,한식,2021-03-01
2021,해진횟집,제주특별자치도 제주시 서부두길 26 ,횟집,2021-03-01
2021,해원,제주특별자치도 제주시 서해안로 687-6,횟집,2021-03-01
2021,지지지,제주특별자치도 제주시 신대로 104,한식,2021-03-01
2021,진돼지,제주특별자치도 제주시 은수길 65,식육(숯불구이),2021-03-01
2021,후니참치,제주특별자치도 제주시 노연로 39 ,횟집,2021-03-01
2021,천하일품,제주특별자치도 제주시 신대로14길 35 ,한식,2021-03-01
2021,천지연무태장어천지연,제주특별자치도 제주시 연삼로 461 ,식육(숯불구이),2021-03-01
2021,징기스이도점,제주특별자치도 제주시 승천로 68,식육(숯불구이),2021-03-01
2021,해원앙,제주특별자치도 제주시 연삼로 457-1 ,한식,2021-03-01
